ID,Experience/Team_Size,Technical_Skills,Programming_Languages,Role,Project_Description,Availability/Project_Duration,Communication_Tools,Work_Preference,Certifications,Languages,Industry
TL01975,5,"Python, R, TensorFlow, PyTorch, SQL","Python, R, SQL",Web Development - Web Development - Data Engineer,Cloud infrastructure,Freelancer,Microsoft Teams,Waterfall,PMP,English,Finance
TL01976,8,"Java, Spring, Node.js, MySQL","Java, MySQL",Web Development - Backend Developer,Cloud infrastructure,Full-Time,Zoom,Agile,,English,Healthcare
TL01977,1,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Company Project,Long-Term,Slack,Waterfall,,English,Technology
TL01979,12,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",Web Development - Web Development - Data Engineer,Cloud infrastructure,Long-Term,Zoom,Agile,,English,Education
TL01980,5,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Cloud infrastructure,Long-Term,Microsoft Teams,Waterfall,,English,Education
TL01981,11,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Cloud infrastructure,Freelancer,Zoom,Waterfall,PMP,English,Finance
TL01982,5,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",DevOps - Frontend Developer,Cloud infrastructure,Part-Time,Zoom,Waterfall,AWS Certified,English,Technology
TL01986,15,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Mobile app,Full-Time,Slack,Waterfall,,English,Finance
TL01988,1,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",DevOps - Frontend Developer,E-commerce platform,Full-Time,Microsoft Teams,Waterfall,AWS Certified,English,Technology
TL01999,2,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,E-commerce platform,Mid-Term,Slack,Waterfall,PMP,English,Education
TL02001,6,"Java, Spring, Node.js, MySQL","Java, MySQL",DevOps - Backend Developer,E-commerce platform,Full-Time,Slack,Agile,,Korean,Finance
TL02002,3,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Web Development - Frontend Developer,E-commerce platform,Long-Term,Zoom,Waterfall,AWS Certified,English,Technology
TL02008,2,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Open Source Contribution,Full-Time,Zoom,Agile,AWS Certified,English,Healthcare
TL02016,4,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Cloud infrastructure,Full-Time,Zoom,Agile,PMP,Korean,Finance
TL02019,5,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,E-commerce platform,Part-Time,Slack,Agile,,Korean,Finance
TL02022,6,"Docker, Kubernetes, AWS, CI/CD","Python, R, SQL",Web Development - Web Development - Data Engineer,Company Project,Short-Term,Slack,Waterfall,,Korean,Finance
TL02024,8,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Cloud infrastructure,Full-Time,Slack,Agile,AWS Certified,English,Education
TL02027,7,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",DevOps - Frontend Developer,Company Project,Full-Time,Microsoft Teams,Waterfall,PMP,English,Healthcare
TL02033,6,"Java, Spring, Node.js, MySQL","Java, MySQL",Data Science - Backend Developer,Open Source Contribution,Mid-Term,Microsoft Teams,Waterfall,,English,Healthcare
TL02035,8,"JavaScript, React, Node.js, HTML, CSS","Python, Shell",Web Development - Web Development - Data Engineer,E-commerce platform,Freelancer,Microsoft Teams,Agile,PMP,English,Healthcare
TL02036,10,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",Web Development - Web Development - Data Engineer,Company Project,Full-Time,Microsoft Teams,Agile,PMP,English,Healthcare
TL02043,11,"JavaScript, React, Node.js, HTML, CSS","Python, Shell",Web Development - Web Development - Data Engineer,Company Project,Full-Time,Slack,Agile,PMP,English,Finance
TL02047,15,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",DevOps - Frontend Developer,Cloud infrastructure,Short-Term,Slack,Waterfall,PMP,Korean,Healthcare
TL02052,8,"Java, Spring, Node.js, MySQL","Java, MySQL",Web Development - Backend Developer,Mobile app,Freelancer,Microsoft Teams,Waterfall,AWS Certified,Korean,Technology
TL02054,1,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,E-commerce platform,Part-Time,Microsoft Teams,Agile,PMP,English,Finance
TL02059,3,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Company Project,Full-Time,Slack,Agile,AWS Certified,English,Healthcare
TL02066,1,"Java, Spring, Node.js, MySQL","Java, MySQL",DevOps - Backend Developer,Company Project,Full-Time,Microsoft Teams,Agile,AWS Certified,English,Technology
TL02067,4,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Data Science - Frontend Developer,Mobile app,Full-Time,Slack,Agile,AWS Certified,English,Technology
TL02068,14,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Company Project,Short-Term,Microsoft Teams,Agile,PMP,English,Education
TL02069,15,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Data Science - Frontend Developer,E-commerce platform,Part-Time,Zoom,Waterfall,AWS Certified,English,Finance
TL02073,12,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",DevOps - Frontend Developer,Cloud infrastructure,Part-Time,Microsoft Teams,Waterfall,AWS Certified,Korean,Healthcare
TL02076,10,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Web Development - Frontend Developer,E-commerce platform,Part-Time,Slack,Waterfall,,English,Healthcare
TL02078,6,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",Web Development - Web Development - Data Engineer,E-commerce platform,Freelancer,Microsoft Teams,Waterfall,PMP,English,Healthcare
TL02081,12,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Mobile app,Part-Time,Slack,Agile,,English,Healthcare
TL02082,6,"Java, Spring, Node.js, MySQL","Java, MySQL",Data Science - Backend Developer,Open Source Contribution,Freelancer,Zoom,Agile,AWS Certified,English,Healthcare
TL02098,13,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,E-commerce platform,Mid-Term,Slack,Waterfall,AWS Certified,English,Healthcare
TL02099,3,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Mobile app,Full-Time,Microsoft Teams,Agile,,English,Finance
TL02103,10,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Company Project,Long-Term,Microsoft Teams,Agile,,English,Education
TL02105,2,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",Web Development - Web Development - Data Engineer,Mobile app,Freelancer,Zoom,Waterfall,,English,Technology
TL02106,10,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Company Project,Part-Time,Zoom,Agile,PMP,English,Finance
TL02110,12,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Company Project,Mid-Term,Microsoft Teams,Waterfall,,English,Finance
TL02112,2,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Mobile app,Full-Time,Microsoft Teams,Agile,AWS Certified,English,Education
TL02114,4,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Company Project,Part-Time,Slack,Agile,PMP,English,Healthcare
TL02121,2,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,E-commerce platform,Part-Time,Slack,Waterfall,PMP,English,Healthcare
TL02124,12,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Cloud infrastructure,Long-Term,Microsoft Teams,Waterfall,PMP,English,Healthcare
TL02127,15,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Mobile app,Freelancer,Slack,Agile,,English,Finance
TL02135,7,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Web Development - Frontend Developer,Company Project,Short-Term,Microsoft Teams,Agile,,English,Healthcare
TL02142,15,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Data Science - Frontend Developer,E-commerce platform,Freelancer,Slack,Waterfall,PMP,English,Finance
TL02148,3,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Cloud infrastructure,Long-Term,Microsoft Teams,Waterfall,AWS Certified,English,Healthcare
TL02149,1,"Java, Spring, Node.js, MySQL","Java, MySQL",Data Science - Backend Developer,Company Project,Freelancer,Microsoft Teams,Waterfall,,English,Finance
TL02153,8,"Java, Spring, Node.js, MySQL","Java, MySQL",Data Science - Backend Developer,Company Project,Mid-Term,Zoom,Agile,PMP,English,Education
TL02154,10,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",Web Development - DevOps Engineer,E-commerce platform,Mid-Term,Zoom,Agile,,English,Healthcare
TL02156,12,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Data Science - Frontend Developer,Open Source Contribution,Short-Term,Slack,Agile,,English,Education
TL02157,5,"Java, Spring, Node.js, MySQL","Java, MySQL",DevOps - Backend Developer,Company Project,Mid-Term,Microsoft Teams,Agile,PMP,English,Education
TL02160,10,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",DevOps - Frontend Developer,Mobile app,Part-Time,Microsoft Teams,Agile,,English,Healthcare
TL02161,4,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Company Project,Short-Term,Microsoft Teams,Waterfall,,English,Finance
TL02164,5,"Java, Spring, Node.js, MySQL","Java, MySQL",Web Development - Backend Developer,Mobile app,Part-Time,Slack,Waterfall,PMP,English,Finance
TL02166,14,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Cloud infrastructure,Long-Term,Microsoft Teams,Waterfall,,Korean,Finance
TL02168,13,"Java, Spring, Node.js, MySQL","Java, MySQL",Web Development - Backend Developer,E-commerce platform,Part-Time,Zoom,Agile,AWS Certified,English,Healthcare
TL02170,10,"Java, Spring, Node.js, MySQL","Java, MySQL",DevOps - Backend Developer,Open Source Contribution,Freelancer,Microsoft Teams,Agile,PMP,English,Education
TL02172,6,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Web Development - Frontend Developer,Open Source Contribution,Mid-Term,Zoom,Agile,,English,Finance
TL02176,4,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Cloud infrastructure,Full-Time,Zoom,Waterfall,PMP,English,Healthcare
TL02178,5,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Cloud infrastructure,Freelancer,Microsoft Teams,Agile,PMP,English,Healthcare
TL02180,12,"Java, Spring, Node.js, MySQL","Java, MySQL",Web Development - Backend Developer,Mobile app,Long-Term,Zoom,Waterfall,AWS Certified,English,Technology
TL02184,6,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,E-commerce platform,Long-Term,Slack,Agile,PMP,English,Healthcare
TL02186,10,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Cloud infrastructure,Full-Time,Zoom,Waterfall,,Korean,Finance
TL02190,5,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,E-commerce platform,Short-Term,Slack,Waterfall,PMP,English,Education
TL02191,5,"JavaScript, React, Node.js, HTML, CSS","Python, R, SQL",Web Development - Web Development - Data Engineer,Company Project,Long-Term,Zoom,Agile,,English,Finance
TL02193,8,"Java, Spring, Node.js, MySQL","Java, MySQL",DevOps - Backend Developer,Cloud infrastructure,Short-Term,Microsoft Teams,Waterfall,AWS Certified,English,Education
TL02195,11,"Java, Spring, Node.js, MySQL","Java, MySQL",Web Development - Backend Developer,Mobile app,Freelancer,Slack,Waterfall,AWS Certified,English,Healthcare
TL02197,9,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Cloud infrastructure,Freelancer,Microsoft Teams,Agile,PMP,English,Finance
TL02198,1,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,E-commerce platform,Long-Term,Microsoft Teams,Waterfall,PMP,English,Finance
TL02203,10,"Java, Spring, Node.js, MySQL","Java, MySQL",DevOps - Backend Developer,Mobile app,Long-Term,Slack,Agile,,English,Education
TL02206,4,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Web Development - Frontend Developer,Cloud infrastructure,Full-Time,Zoom,Waterfall,AWS Certified,English,Technology
TL02208,2,"Java, Spring, Node.js, MySQL","Java, MySQL",Web Development - Backend Developer,Company Project,Short-Term,Slack,Waterfall,,Korean,Education
TL02209,2,"Java, Spring, Node.js, MySQL","Java, MySQL",DevOps - Backend Developer,Company Project,Freelancer,Microsoft Teams,Waterfall,,English,Finance
TL02210,8,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Company Project,Long-Term,Microsoft Teams,Agile,PMP,English,Finance
TL02211,6,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Company Project,Long-Term,Zoom,Waterfall,AWS Certified,English,Healthcare
TL02222,2,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Web Development - Frontend Developer,Open Source Contribution,Freelancer,Slack,Agile,,English,Finance
TL02223,14,"Java, Spring, Node.js, MySQL","Java, MySQL",Web Development - Backend Developer,Open Source Contribution,Part-Time,Slack,Agile,,Korean,Healthcare
TL02224,11,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Cloud infrastructure,Freelancer,Slack,Agile,,English,Education
TL02225,9,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Cloud infrastructure,Full-Time,Slack,Waterfall,AWS Certified,Korean,Finance
TL02226,12,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Open Source Contribution,Mid-Term,Zoom,Waterfall,,Korean,Technology
TL02227,4,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Web Development - Frontend Developer,Cloud infrastructure,Short-Term,Zoom,Agile,PMP,English,Finance
TL02231,1,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Mobile app,Part-Time,Microsoft Teams,Waterfall,,English,Education
TL02232,2,"Java, Spring, Node.js, MySQL","Java, MySQL",Data Science - Backend Developer,E-commerce platform,Full-Time,Slack,Waterfall,PMP,English,Healthcare
TL02233,2,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",Web Development - Web Development - Data Engineer,E-commerce platform,Part-Time,Microsoft Teams,Waterfall,AWS Certified,English,Finance
TL02234,6,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Company Project,Short-Term,Microsoft Teams,Agile,AWS Certified,English,Finance
TL02235,9,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",DevOps - Frontend Developer,Company Project,Mid-Term,Zoom,Agile,,English,Healthcare
TL02240,5,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",Web Development - Web Development - Data Engineer,Open Source Contribution,Long-Term,Microsoft Teams,Waterfall,,Korean,Healthcare
TL02243,5,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Data Science - Frontend Developer,Mobile app,Full-Time,Microsoft Teams,Waterfall,PMP,English,Finance
TL02244,11,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Data Science - Frontend Developer,Mobile app,Part-Time,Slack,Agile,,English,Healthcare
TL02248,3,"Java, Spring, Node.js, MySQL","Java, MySQL",DevOps - Backend Developer,E-commerce platform,Part-Time,Slack,Waterfall,AWS Certified,English,Healthcare
TL02254,3,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Mobile app,Part-Time,Slack,Waterfall,PMP,English,Finance
TL02255,15,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",Web Development - Web Development - Data Engineer,Cloud infrastructure,Mid-Term,Slack,Agile,AWS Certified,English,Healthcare
TL02259,8,"JavaScript, React, Node.js, HTML, CSS","JavaScript, TypeScript, HTML, CSS",Web Development - Web Development - Data Engineer,Company Project,Full-Time,Microsoft Teams,Agile,PMP,English,Finance
TL02262,9,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",Web Development - Web Development - Data Engineer,Open Source Contribution,Full-Time,Zoom,Agile,,Korean,Finance
TL02264,6,"Java, Spring, Node.js, MySQL","Java, MySQL",Web Development - Backend Developer,Company Project,Part-Time,Zoom,Agile,AWS Certified,English,Education
TL02268,11,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",Web Development - DevOps Engineer,Cloud infrastructure,Mid-Term,Microsoft Teams,Waterfall,,English,Healthcare
TL02272,9,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Data Science - Frontend Developer,Mobile app,Long-Term,Zoom,Agile,PMP,English,Education
TL02276,11,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Open Source Contribution,Full-Time,Slack,Waterfall,,English,Healthcare
TL02277,14,"Docker, Kubernetes, AWS, CI/CD","Python, R, SQL",Web Development - Web Development - Data Engineer,Cloud infrastructure,Freelancer,Zoom,Waterfall,PMP,English,Education
TL02285,6,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Company Project,Freelancer,Zoom,Agile,AWS Certified,Korean,Healthcare
TL02286,8,"Java, Spring, Node.js, MySQL","Java, MySQL",DevOps - Backend Developer,Mobile app,Mid-Term,Slack,Waterfall,AWS Certified,Korean,Education
TL02290,13,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",Web Development - Web Development - Data Engineer,Cloud infrastructure,Full-Time,Slack,Agile,PMP,English,Finance
TL02292,9,"Docker, Kubernetes, AWS, CI/CD","Python, R, SQL",Web Development - Web Development - Data Engineer,Mobile app,Short-Term,Slack,Agile,PMP,English,Finance
TL02296,12,"Java, Spring, Node.js, MySQL","Java, MySQL",DevOps - Backend Developer,Cloud infrastructure,Part-Time,Zoom,Waterfall,,English,Finance
TL02298,14,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",DevOps - Frontend Developer,E-commerce platform,Part-Time,Slack,Agile,AWS Certified,English,Finance
TL02299,12,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",Web Development - Web Development - Data Engineer,Cloud infrastructure,Full-Time,Slack,Waterfall,PMP,Korean,Education
TL02300,9,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,E-commerce platform,Freelancer,Zoom,Waterfall,PMP,Korean,Education
TL02301,5,"JavaScript, React, Node.js, HTML, CSS","Python, R, SQL",Web Development - Web Development - Data Engineer,E-commerce platform,Short-Term,Microsoft Teams,Agile,AWS Certified,English,Finance
TL02302,13,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Web Development - Frontend Developer,Cloud infrastructure,Short-Term,Microsoft Teams,Waterfall,,English,Technology
TL02303,9,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",DevOps - Frontend Developer,Cloud infrastructure,Long-Term,Microsoft Teams,Waterfall,AWS Certified,English,Healthcare
TL02312,12,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Open Source Contribution,Long-Term,Zoom,Agile,,English,Finance
TL02315,8,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Company Project,Mid-Term,Microsoft Teams,Agile,AWS Certified,English,Finance
TL02322,13,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Data Science - Frontend Developer,Company Project,Long-Term,Slack,Waterfall,AWS Certified,English,Finance
TL02323,2,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Open Source Contribution,Long-Term,Slack,Waterfall,AWS Certified,English,Finance
TL02326,4,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Company Project,Part-Time,Slack,Agile,PMP,English,Education
TL02327,11,"Java, Spring, Node.js, MySQL","Java, MySQL",DevOps - Backend Developer,Open Source Contribution,Mid-Term,Microsoft Teams,Waterfall,PMP,English,Technology
TL02329,5,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,E-commerce platform,Freelancer,Slack,Agile,PMP,English,Finance
TL02338,5,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Mobile app,Freelancer,Zoom,Waterfall,,English,Healthcare
TL02339,7,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Data Science - Frontend Developer,E-commerce platform,Mid-Term,Microsoft Teams,Waterfall,AWS Certified,Korean,Healthcare
TL02342,13,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Company Project,Short-Term,Zoom,Waterfall,PMP,English,Finance
TL02345,6,"Java, Spring, Node.js, MySQL","Java, MySQL",Web Development - Backend Developer,Mobile app,Short-Term,Slack,Agile,AWS Certified,English,Finance
TL02347,9,"Java, Spring, Node.js, MySQL","Java, MySQL",Web Development - Backend Developer,Company Project,Short-Term,Microsoft Teams,Waterfall,,Korean,Education
TL02348,7,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,E-commerce platform,Part-Time,Slack,Agile,,English,Finance
TL02350,12,"Docker, Kubernetes, AWS, CI/CD","Python, R, SQL",Web Development - Web Development - Data Engineer,E-commerce platform,Long-Term,Microsoft Teams,Agile,,Korean,Technology
TL02351,8,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",Web Development - Web Development - Data Engineer,Open Source Contribution,Long-Term,Slack,Agile,,Korean,Education
TL02358,14,"Java, Spring, Node.js, MySQL","Java, MySQL",DevOps - Backend Developer,Open Source Contribution,Short-Term,Microsoft Teams,Waterfall,PMP,English,Technology
TL02364,15,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",Web Development - Web Development - Data Engineer,Open Source Contribution,Short-Term,Slack,Agile,AWS Certified,English,Healthcare
TL02367,7,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Cloud infrastructure,Long-Term,Zoom,Agile,PMP,English,Technology
TL02368,12,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,E-commerce platform,Freelancer,Slack,Agile,,Korean,Healthcare
TL02369,5,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",Web Development - Web Development - Data Engineer,Company Project,Part-Time,Slack,Agile,,English,Healthcare
TL02375,12,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Data Science - Frontend Developer,Cloud infrastructure,Part-Time,Slack,Agile,,English,Education
TL02377,3,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,E-commerce platform,Long-Term,Slack,Waterfall,AWS Certified,English,Education
TL02380,7,"JavaScript, React, Node.js, HTML, CSS","Python, R, SQL",Web Development - Web Development - Data Engineer,E-commerce platform,Long-Term,Slack,Waterfall,AWS Certified,English,Education
TL02381,7,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",DevOps - Frontend Developer,Mobile app,Part-Time,Microsoft Teams,Waterfall,AWS Certified,English,Healthcare
TL02383,13,"JavaScript, React, Node.js, HTML, CSS","Python, Shell",Web Development - Web Development - Data Engineer,Company Project,Full-Time,Microsoft Teams,Waterfall,PMP,English,Education
TL02387,7,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Open Source Contribution,Freelancer,Slack,Agile,AWS Certified,English,Finance
TL02388,4,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Cloud infrastructure,Long-Term,Slack,Waterfall,AWS Certified,English,Healthcare
TL02390,1,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Cloud infrastructure,Full-Time,Slack,Agile,AWS Certified,English,Healthcare
TL02399,8,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Cloud infrastructure,Long-Term,Microsoft Teams,Waterfall,,English,Education
TL02404,10,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Open Source Contribution,Part-Time,Slack,Agile,PMP,English,Education
TL02409,6,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,E-commerce platform,Short-Term,Microsoft Teams,Waterfall,PMP,English,Healthcare
TL02410,4,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Web Development - Frontend Developer,Cloud infrastructure,Part-Time,Microsoft Teams,Agile,,English,Healthcare
TL02418,2,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Cloud infrastructure,Freelancer,Microsoft Teams,Agile,AWS Certified,English,Healthcare
TL02421,6,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,E-commerce platform,Part-Time,Slack,Waterfall,,Korean,Finance
TL02424,10,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Cloud infrastructure,Freelancer,Slack,Waterfall,,English,Healthcare
TL02425,6,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Open Source Contribution,Long-Term,Microsoft Teams,Waterfall,PMP,English,Finance
TL02426,10,"Python, R, TensorFlow, PyTorch, SQL","JavaScript, TypeScript, HTML, CSS",Web Development - Web Development - Data Engineer,Company Project,Full-Time,Slack,Agile,,Korean,Healthcare
TL02428,4,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Web Development - Frontend Developer,Mobile app,Part-Time,Zoom,Agile,PMP,English,Education
TL02429,13,"Java, Spring, Node.js, MySQL","Java, MySQL",Data Science - Backend Developer,Open Source Contribution,Full-Time,Slack,Waterfall,PMP,English,Technology
TL02433,2,"Java, Spring, Node.js, MySQL","Java, MySQL",Web Development - Backend Developer,E-commerce platform,Mid-Term,Slack,Waterfall,,English,Education
TL02435,15,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Web Development - Frontend Developer,Cloud infrastructure,Part-Time,Slack,Agile,,English,Healthcare
TL02437,6,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",Web Development - Web Development - Data Engineer,Mobile app,Short-Term,Zoom,Agile,AWS Certified,English,Finance
TL02446,1,"Java, Spring, Node.js, MySQL","Java, MySQL",DevOps - Backend Developer,Open Source Contribution,Long-Term,Zoom,Agile,AWS Certified,English,Finance
TL02448,15,"Java, Spring, Node.js, MySQL","Java, MySQL",Web Development - Backend Developer,E-commerce platform,Long-Term,Microsoft Teams,Waterfall,AWS Certified,English,Education
TL02451,11,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",Web Development - Web Development - Data Engineer,Cloud infrastructure,Freelancer,Microsoft Teams,Waterfall,PMP,Korean,Finance
TL02454,8,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Company Project,Part-Time,Microsoft Teams,Waterfall,AWS Certified,Korean,Finance
TL02455,8,"Java, Spring, Node.js, MySQL","Java, MySQL",DevOps - Backend Developer,Company Project,Full-Time,Microsoft Teams,Agile,AWS Certified,English,Finance
TL02459,5,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Web Development - Frontend Developer,Cloud infrastructure,Part-Time,Microsoft Teams,Agile,,Korean,Healthcare
TL02461,7,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,E-commerce platform,Part-Time,Slack,Waterfall,AWS Certified,English,Finance
